storm,measure,n,mean,median,sd,p25,p75
Harvey,RPI_composite,6954,0.2837,0.2805,0.1779,0.1353,0.395
Harvey,RPI_composite_full,6954,0.3845,0.375,0.1547,0.2827,0.4687
Harvey,RPI_A,6954,0.1209,0.0174,0.2369,0.0058,0.0809
Harvey,RPI_D_rev,6954,0.4492,0.4233,0.3085,0.167,0.7291
Harvey,RPI_E_rev,6954,0.2386,0.1368,0.2539,0.0488,0.3489
Irma,RPI_composite,50527,0.3256,0.3339,0.1708,0.2031,0.4172
Irma,RPI_composite_full,50527,0.414,0.403,0.1534,0.3202,0.4902
Irma,RPI_A,50527,0.1277,0.0166,0.2485,0.0057,0.0831
Irma,RPI_D_rev,50527,0.5735,0.6188,0.3018,0.3178,0.8536
Irma,RPI_E_rev,50527,0.2125,0.1105,0.2412,0.0384,0.2994
Dorian,RPI_composite,23338,0.3161,0.3272,0.166,0.1963,0.4061
Dorian,RPI_composite_full,23338,0.3964,0.3864,0.1487,0.3061,0.4685
Dorian,RPI_A,23338,0.1137,0.0131,0.2378,0.0049,0.0608
Dorian,RPI_D_rev,23338,0.5754,0.6234,0.3011,0.3216,0.8544
Dorian,RPI_E_rev,23338,0.1933,0.0954,0.2332,0.0331,0.2538
Ida,RPI_composite,8427,0.2957,0.2987,0.1716,0.1604,0.3996
Ida,RPI_composite_full,8427,0.3878,0.3777,0.1535,0.2903,0.4685
Ida,RPI_A,8427,0.1236,0.0159,0.2457,0.0053,0.0767
Ida,RPI_D_rev,8427,0.4973,0.4996,0.3031,0.2253,0.772
Ida,RPI_E_rev,8427,0.2148,0.1161,0.2409,0.0405,0.3
Ian,RPI_composite,14659,0.3207,0.3266,0.1705,0.1962,0.4158
Ian,RPI_composite_full,14659,0.4033,0.3931,0.1518,0.3085,0.4799
Ian,RPI_A,14659,0.1208,0.0159,0.2407,0.0053,0.0782
Ian,RPI_D_rev,14659,0.5439,0.5646,0.298,0.2928,0.8215
Ian,RPI_E_rev,14659,0.2405,0.1284,0.2617,0.043,0.3595
Milton,RPI_composite,25472,0.3114,0.3174,0.1719,0.1838,0.4046
Milton,RPI_composite_full,25472,0.3934,0.3818,0.1571,0.2975,0.4718
Milton,RPI_A,25472,0.1259,0.017,0.244,0.0058,0.0845
Milton,RPI_D_rev,25472,0.5453,0.5802,0.3048,0.2758,0.8274
Milton,RPI_E_rev,25472,0.2037,0.0938,0.2474,0.0305,0.2778
