variable,coef,se,z,p_value,ci_lower,ci_upper,model,outcome,n_obs,r2,sig
const,0.3472590764330878,0.011339249697246041,30.624519761428875,5.773439937038478e-206,0.3250345554147788,0.36948359745139675,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,***
delta_forecast_1_wind_z,0.007273355407253913,0.00630945935670816,1.1527699912229321,0.24900480462429964,-0.005092957693813339,0.019639668508321165,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
delta_wind_kt_z,0.0004231026694183808,0.007746665818702681,0.05461739015472814,0.9564432840978042,-0.014760083335506366,0.015606288674343126,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
delta_fc_lag1_z,0.006088913783556499,0.004744818158797198,1.2832765302643392,0.1993952121659106,-0.00321075892087766,0.015388586487990658,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
delta_wind_lag1_z,-5.725052154796412e-05,0.005625960105802375,-0.010176133579212262,0.9918807602582662,-0.01108392970737977,0.010969428664283841,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
new_hurricane_warning,0.005316990750718239,0.007674652296339389,0.6927989106756415,0.4884357559328327,-0.009725051343974587,0.020359032845411063,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
warning_lag1,-0.01460570396135422,0.006664754973760119,-2.1914840108688916,0.02841678554767519,-0.027668383675708244,-0.0015430242470001933,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,*
new_hurricane_watch,0.0024968555655113787,0.004744267636902522,0.5262889357442632,0.5986874692962298,-0.0068017381358365155,0.011795449266859272,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
prop_proximity,-0.0668664729708917,0.03163196321863019,-2.113889438626735,0.03452471149570095,-0.12886398163970256,-0.004868964302080836,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,*
proximity:delta_forecast_1_wind_z,-0.004934464349027258,0.029470100877636622,-0.16743968300331727,0.8670241033646116,-0.06269480068995728,0.05282587199190276,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
proximity:delta_wind_kt_z,0.0095323288337303,0.04447714943754536,0.21431968897007572,0.8302977651605916,-0.07764128219886453,0.09670593986632513,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
storm_category_z,0.0005839152137762462,0.003101129278878661,0.1882911550167249,0.8506484186238148,-0.005494186484228598,0.006662016911781091,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
log_n_posts,-0.005131791410087661,0.002494852493457182,-2.0569518332430166,0.03969085932323898,-0.010021612444003687,-0.00024197037617163398,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,*
hour_sin,0.009458757378039705,0.0025455947279529284,3.7157357666458095,0.00020261323676174257,0.004469483392016929,0.014448031364062482,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,***
hour_cos,-0.005625137435570667,0.002504288116940964,-2.246202183174466,0.024691060471291857,-0.010533451951686588,-0.0007168229194547456,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,*
storm_Harvey,-0.00456428896049498,0.018676847965188908,-0.24438218745487414,0.8069348359757721,-0.041170238316995435,0.03204166039600547,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
storm_Ian,0.01285346657451075,0.00551782671755842,2.329443679992596,0.019835573346829886,0.002038724935163383,0.02366820821385812,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,*
storm_Ida,0.011200015214954916,0.010504238417285958,1.066237719483211,0.28631619516751916,-0.009387913767947582,0.03178794419785741,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
storm_Irma,0.02332782534059027,0.005115541843860367,4.560186594620107,5.110818672808682e-06,0.01330154756521633,0.03335410311596421,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,***
storm_Milton,0.005047999734338854,0.009552267581882814,0.5284608802116345,0.5971794920316702,-0.013674100696840972,0.02377010016551868,Moderation H4: RPI_composite,mean_rpi_composite,857.0,0.2027318806691193,
const,0.13452629703527444,0.01605958945181462,8.376695894929862,5.4434257376907415e-17,0.10305008010321844,0.16600251396733046,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,***
delta_forecast_1_wind_z,0.008337445389850687,0.007727004151763833,1.0790010236952583,0.2805872713023585,-0.006807204455997896,0.02348209523569927,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
delta_wind_kt_z,-0.0029895649301294545,0.00867480476088265,-0.3446261918896801,0.7303754124713688,-0.019991869834376043,0.014012739974117136,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
delta_fc_lag1_z,0.009608301959125366,0.005691746735514686,1.6881112961637283,0.09138986643142454,-0.001547316651606843,0.020763920569857576,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,.
delta_wind_lag1_z,-0.0019628122035516347,0.006442159617031222,-0.30468233018668495,0.7606081086111232,-0.014589213035591178,0.010663588628487907,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
new_hurricane_warning,0.00864842965109579,0.006760679466323102,1.2792249202430195,0.20081786271271207,-0.004602258613916964,0.021899117916108542,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
warning_lag1,-0.0066435876907636,0.005630146251328933,-1.1800026845120508,0.23799914721121174,-0.017678471571061505,0.004391296189534304,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
new_hurricane_watch,-0.003362759893540799,0.0054084645976243415,-0.6217586956227624,0.5341005497882145,-0.013963155716544422,0.007237635929462825,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
prop_proximity,-0.03359107736878883,0.03436463338451314,-0.9774897637618062,0.32832674296935926,-0.10094452114435737,0.03376236640677971,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
proximity:delta_forecast_1_wind_z,-0.00025763858166807447,0.03456083327581463,-0.007454640332655628,0.9940521126612847,-0.0679956270779582,0.06748034991462204,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
proximity:delta_wind_kt_z,-0.009876421327325224,0.04714547393135951,-0.20948821814167354,0.8340671319096523,-0.10227985226686186,0.08252700961221142,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
storm_category_z,0.0016852947504708657,0.0032023713399605388,0.5262646244178643,0.5987043583781244,-0.004591237740975064,0.007961827241916795,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
log_n_posts,-0.00360018931759216,0.003408806597621556,-1.0561436134581934,0.29090260735138784,-0.01028132747919293,0.0030809488440086095,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
hour_sin,0.0064846045382232,0.003200822050133948,2.025918478645769,0.04277313929355354,0.0002111085990390022,0.012758100477407398,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,*
hour_cos,-0.003266818316205949,0.002516904345181193,-1.297950922314757,0.19430420001294268,-0.008199860185293456,0.001666223552881558,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
storm_Harvey,0.01661109285728568,0.018562522399964844,0.8948726094098688,0.370855190279896,-0.019770782508863424,0.052992968223434786,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
storm_Ian,0.004480398097516703,0.006112753336034991,0.7329590859007068,0.46358338388745046,-0.007500378287488946,0.01646117448252235,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
storm_Ida,0.012080821688762029,0.010789621914833864,1.1196705300815952,0.2628541877391093,-0.009066448671116438,0.033228092048640495,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,
storm_Irma,0.020920951983094495,0.005086588862241405,4.112963038627753,3.90612945037949e-05,0.01095142100893877,0.03089048295725022,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,***
storm_Milton,0.02337972960795804,0.009596960721659586,2.436159768289124,0.014844126494537601,0.004570032232459723,0.04218942698345636,Moderation H4: RPI_A,mean_rpi_a,857.0,0.07702101834249997,*
const,0.6328315564927466,0.025244079339864063,25.068514005714352,1.0969752633008962e-138,0.5833540701637414,0.6823090428217518,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,***
delta_forecast_1_wind_z,0.021808559854588207,0.011646003052231412,1.8726218563380521,0.06112062102090078,-0.0010171866916289032,0.04463430640080532,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,.
delta_wind_kt_z,-0.010107182872616294,0.014357251719950951,-0.7039775487512887,0.4814467553851244,-0.038246879160695905,0.018032513415463317,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
delta_fc_lag1_z,0.017703745610916487,0.007969029435268565,2.221568605652898,0.026312473493821178,0.0020847349260505344,0.03332275629578244,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,*
delta_wind_lag1_z,-0.00846307618521885,0.009587450510043614,-0.8827243672708514,0.37738521323593166,-0.027254133888464507,0.010327981518026805,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
new_hurricane_warning,-0.007826763922066162,0.019457999786663724,-0.4022388738759536,0.6875082355327654,-0.045963742715115115,0.030310214870982795,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
warning_lag1,-0.05086489790685088,0.01795982592108891,-2.8321487151567517,0.004623633896984024,-0.08606550988079403,-0.015664285932907716,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,**
new_hurricane_watch,0.0242433187498221,0.010015258730538355,2.4206382882450943,0.015493285077795899,0.004613772342116584,0.04387286515752761,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,*
prop_proximity,-0.21789804348700287,0.06526497166324934,-3.338667556791435,0.0008418124383528548,-0.34581503739899877,-0.089981049575007,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,***
proximity:delta_forecast_1_wind_z,-0.02007318733604469,0.05859453302598853,-0.3425778191139709,0.7319160911720693,-0.13491636175792496,0.09476998708583556,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
proximity:delta_wind_kt_z,0.03903258833723935,0.08117210642913994,0.4808620849492586,0.6306145214368887,-0.12006181681312711,0.19812699348760582,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
storm_category_z,0.004501085321838852,0.006482730695980197,0.694319343641697,0.48748196272440003,-0.008204833363754611,0.017207004007432317,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
log_n_posts,-0.006453138068081083,0.0050406454329327555,-1.2802205895935252,0.20046756663470888,-0.01633262157546559,0.003426345439303426,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
hour_sin,0.013419591719070598,0.0058245983862741865,2.303951419327761,0.021225370806004982,0.002003588657563074,0.024835594780578122,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,*
hour_cos,-0.00682320926986861,0.005452936126082335,-1.2512908847826076,0.21082836986447717,-0.017510767686987352,0.00386434914725013,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
storm_Harvey,-0.02781574719270644,0.02616085374131856,-1.063258388573693,0.2876647900678019,-0.07909007833051074,0.023458583945097863,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,
storm_Ian,0.03146498644979679,0.012692873291212685,2.4789490707025412,0.013177011963870304,0.006587411938689548,0.05634256096090404,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,*
storm_Ida,0.03744469242454593,0.019422344088226157,1.927918291142053,0.05386529023422818,-0.000622402483721772,0.07551178733281363,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,.
storm_Irma,0.03895948968174353,0.011197503097518755,3.47930153199748,0.0005027225862629265,0.017012786893831074,0.060906192469655986,Moderation H4: RPI_D,mean_p_likelihood,857.0,0.2742303455875005,***
