,max_wind_kt_z,delta_wind_kt_z,delta_wind_lag1_z,delta_forecast_1_wind_z,delta_fc_lag1_z,new_hurricane_warning,warning_lag1,new_hurricane_watch,storm_category_z,log_n_posts,hour_sin,hour_cos
max_wind_kt_z,1.0,-0.091,0.01,-0.192,-0.097,0.33,0.375,0.143,0.98,0.651,0.005,0.022
delta_wind_kt_z,-0.091,1.0,0.36,0.854,0.388,-0.057,-0.097,-0.101,-0.103,0.034,-0.036,0.099
delta_wind_lag1_z,0.01,0.36,1.0,0.255,0.854,-0.082,-0.067,-0.1,0.009,0.029,0.091,0.043
delta_forecast_1_wind_z,-0.192,0.854,0.255,1.0,0.224,-0.056,-0.124,-0.074,-0.208,-0.028,-0.06,0.061
delta_fc_lag1_z,-0.097,0.388,0.854,0.224,1.0,-0.076,-0.079,-0.065,-0.102,-0.002,0.063,0.089
new_hurricane_warning,0.33,-0.057,-0.082,-0.056,-0.076,1.0,0.908,0.535,0.295,0.254,-0.007,0.051
warning_lag1,0.375,-0.097,-0.067,-0.124,-0.079,0.908,1.0,0.48,0.336,0.229,0.07,0.032
new_hurricane_watch,0.143,-0.101,-0.1,-0.074,-0.065,0.535,0.48,1.0,0.139,0.084,0.017,-0.026
storm_category_z,0.98,-0.103,0.009,-0.208,-0.102,0.295,0.336,0.139,1.0,0.641,0.038,0.018
log_n_posts,0.651,0.034,0.029,-0.028,-0.002,0.254,0.229,0.084,0.641,1.0,-0.295,0.193
hour_sin,0.005,-0.036,0.091,-0.06,0.063,-0.007,0.07,0.017,0.038,-0.295,1.0,0.028
hour_cos,0.022,0.099,0.043,0.061,0.089,0.051,0.032,-0.026,0.018,0.193,0.028,1.0
