variable,coef,se,z,p_value,ci_lower,ci_upper,model,outcome,n_obs,r2,sig
const,0.3477691856698422,0.011412458425140961,30.4727669284409,5.982856116271097e-204,0.3254011781815052,0.3701371931581792,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,***
delta_forecast_1_wind_z,0.007196033486899674,0.004196551298372856,1.714749320397875,0.08639119682460893,-0.0010290559171859254,0.015421122890985274,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,.
delta_wind_kt_z,0.0012162823445488174,0.005653905070787723,0.21512252669982668,0.8296717912723368,-0.009865167966203504,0.012297732655301138,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,
delta_fc_lag1_z,0.006594102728347179,0.00425413535350761,1.550045351262795,0.12113063126723783,-0.0017438493498863079,0.014932054806580665,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,
delta_wind_lag1_z,-0.0009114954417578587,0.005079187583081677,-0.17945693614348268,0.8575789283376287,-0.010866520175320991,0.009043529291805272,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,
new_hurricane_warning,0.004858993027302683,0.007637704583844206,0.6361849917029728,0.5246558541651755,-0.010110632881588442,0.01982861893619381,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,
warning_lag1,-0.013060677254713347,0.0066193515219167606,-1.9731052522999075,0.04848357200622152,-0.026034367838680593,-8.698667074610172e-05,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,*
new_hurricane_watch,0.0014897904885204929,0.004686223824967885,0.31790852169351996,0.7505543283167565,-0.007695039431910095,0.01067462040895108,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,
storm_category_z,0.0009477785273166033,0.003038424003062267,0.3119309636710964,0.7550929901179121,-0.005007423088447459,0.006902980143080666,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,
log_n_posts,-0.005614881244670472,0.0026772884296671715,-2.0972268741954294,0.035973496594475074,-0.010862270143043926,-0.0003674923462970176,Multi: RPI_composite (revised),mean_rpi_composite,857.0,0.19172243819728807,*
