variable,coef,se,z,p_value,ci_lower,ci_upper,model,outcome,n_obs,r2,sig
const,0.4903540912075646,0.046723875665954574,10.494722114091703,9.134609640141186e-26,0.3987769776841662,0.581931204730963,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,***
delta_forecast_1_wind_z,0.02483798767544455,0.013812136602468123,1.7982726634057609,0.07213380953808009,-0.0022333026149403967,0.051909277965829496,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,.
delta_wind_kt_z,-0.001277013800037617,0.01681911813193682,-0.07592632324834984,0.9394777143784427,-0.03424187959035838,0.03168785199028314,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
delta_fc_lag1_z,0.017041019127179875,0.012192292556370395,1.397687846513825,0.16220682545406817,-0.006855435172281883,0.040937473426641634,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
delta_wind_lag1_z,-0.022288154070961356,0.014953686614484079,-1.4904788795943564,0.13609836575297957,-0.05159684127144884,0.007020533129526132,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
new_hurricane_warning,-0.00874490776359077,0.04743348396874879,-0.18436148964626528,0.8537298787508154,-0.10171282800359642,0.08422301247641488,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
warning_lag1,0.015162547255779486,0.03563333153570994,0.42551584716641894,0.6704606717787271,-0.05467749920338733,0.08500259371494631,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
new_hurricane_watch,0.04627735550113008,0.02972566171506467,1.5568149817730441,0.11951441914937289,-0.011983870877017806,0.10453858187927798,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
storm_category_z,0.018418049877443395,0.008734324049237206,2.108697796603035,0.03497067515566487,0.0012990893116364213,0.03553701044325037,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,*
log_n_posts,0.009516313488099015,0.014459137410973077,0.6581522270392879,0.5104403189219311,-0.018823075084923938,0.03785570206112197,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
hour_sin,0.02231718453236669,0.011392841271328157,1.9588778603043762,0.0501270924154769,-1.2374041018021337e-05,0.044646743105751396,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,.
hour_cos,-0.010245382918371966,0.009332038021720406,-1.0978719647868709,0.2722604014530132,-0.028535841343302375,0.008045075506558443,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
storm_Harvey,-0.06536606199325656,0.06186300012564954,-1.056626123215686,0.29068225336179965,-0.1866153142151265,0.05588319022861338,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
storm_Ian,-0.03912596484306963,0.03338037805529279,-1.1721246769062825,0.2411470038136052,-0.10455030362177467,0.026298373935635416,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
storm_Ida,-0.02910397798819501,0.03648535174025189,-0.7976893903995589,0.4250507622138683,-0.10061395336236449,0.04240599738597446,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
storm_Irma,-0.06384637414984103,0.029967719199738757,-2.1305049518215458,0.033129947431678956,-0.12258202448013848,-0.0051107238195435695,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,*
storm_Milton,-0.02121102436079162,0.04965265683521737,-0.42718810457987777,0.6692423247974884,-0.11852844349454422,0.07610639477296097,Proximity: RPI_D,mean_rpi_d,399.0,0.1197212535551544,
