variable,coef,se,z,p_value,ci_lower,ci_upper,model,outcome,n_obs,r2,sig
const,0.19475144042552267,0.029884644159913955,6.5167729414277025,7.183603760672552e-11,0.13617861418129606,0.2533242666697493,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,***
delta_forecast_1_wind_z,0.006957671608194679,0.009333706442042762,0.7454350157033579,0.45600878242457554,-0.011336056860478625,0.025251400076867984,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
delta_wind_kt_z,-0.013517947993274503,0.01352401816813421,-0.9995511559667962,0.31752777084238926,-0.040024536529082916,0.012988640542533906,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
delta_fc_lag1_z,0.0018362537597258282,0.010608405021016669,0.17309423575815253,0.8625773557626433,-0.01895583801488072,0.022628345534332375,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
delta_wind_lag1_z,0.0024359343464810165,0.011728159970604392,0.20769961806340237,0.8354635159167292,-0.020550836800827928,0.025422705493789964,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
new_hurricane_warning,0.03510741010360506,0.01960554621359016,1.7906876820024187,0.07334342751152642,-0.0033187543722672797,0.0735335745794774,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,.
warning_lag1,-0.006611215614621637,0.013790105643125567,-0.4794173290410838,0.6316417679115296,-0.033639326018150305,0.020416894788907035,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
new_hurricane_watch,0.003592892265942804,0.016923050272820674,0.2123076045996969,0.8318670630503169,-0.029575676777346453,0.03676146130923206,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
storm_category_z,0.007646204744533657,0.007518296540553563,1.0170129235113512,0.3091472815411064,-0.007089385700043407,0.022381795189110723,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
log_n_posts,0.004992036637497384,0.010680839643691556,0.46738241599253294,0.6402263008762635,-0.01594202438878569,0.025926097663780456,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
hour_sin,0.022743572502130556,0.009311245199282907,2.4425919428995515,0.014582214681239287,0.004493867260314581,0.04099327774394653,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,*
hour_cos,-0.0006172559004187124,0.0067987646570581975,-0.090789420071763,0.9276599168908289,-0.013942589767616592,0.012708077966779167,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
storm_Harvey,0.09582736906914945,0.029851066205681648,3.2101824574329716,0.0013265074214080914,0.03732035440589269,0.1543343837324062,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,**
storm_Ian,0.025201840911073387,0.026488542749190127,0.9514242119583539,0.3413890743097615,-0.026714748880288852,0.07711843070243563,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
storm_Ida,0.056519727949697285,0.021718500849874926,2.6023770397588364,0.00925800072674468,0.013952248485739872,0.0990872074136547,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,**
storm_Irma,0.01692206490539006,0.019622917116876352,0.8623623493184165,0.38848815246242907,-0.021538145915302145,0.05538227572608226,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,
storm_Milton,0.06358906497192976,0.0289658925313919,2.195308323505477,0.028141488242374127,0.006816958830343903,0.12036117111351562,Proximity: RPI_E,mean_rpi_e,399.0,0.12320746263835902,*
