variable,coef,se,z,p_value,ci_lower,ci_upper,model,outcome,n_obs,r2,sig
const,0.4057803969849433,0.01076925449490051,37.67952527977583,0.0,0.3846730460345922,0.4268877479352944,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,***
delta_forecast_1_wind_z,0.006885773507724905,0.003892307056592883,1.7690725340030964,0.07688177078603696,-0.0007430081399682513,0.014514555155418062,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,.
delta_wind_kt_z,-0.0007218906958211916,0.005217269022749942,-0.1383656262832876,0.8899514619238497,-0.010947550078067561,0.009503768686425178,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
delta_fc_lag1_z,0.0059101696303085465,0.004212298064805229,1.4030748867677352,0.16059450899476424,-0.002345782868857468,0.014166122129474561,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
delta_wind_lag1_z,0.00034966398559872503,0.005105016581513113,0.06849419194150502,0.9453922433790946,-0.009655984654646763,0.010355312625844212,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
new_hurricane_warning,0.006148282610667836,0.007367004046968223,0.834570277343348,0.40395970301504314,-0.008290779995350706,0.020587345216686377,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
warning_lag1,-0.006747300334225641,0.00683359652483646,-0.9873717755654466,0.3234604156344245,-0.020140903407783177,0.006646302739331892,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
new_hurricane_watch,0.003894340180827884,0.004270981307981945,0.911813913479283,0.3618666848087926,-0.0044766293614605,0.012265309723116267,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
storm_category_z,-0.0025150593165662125,0.0027375051627906827,-0.9187413966380603,0.35823085162344037,-0.007880470843128408,0.0028503522099959837,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
log_n_posts,-0.002229604827450019,0.0024436506616024906,-0.9124073512160265,0.3615543211625255,-0.007019072114988376,0.002559862460088337,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
hour_sin,0.006594274600435661,0.002634781116191503,2.5027789063432664,0.012322249381024088,0.0014301985055540714,0.01175835069531725,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,*
hour_cos,-0.005707189752876995,0.0021957114596442024,-2.599243961591292,0.009342934737857462,-0.010010705134221504,-0.001403674371532486,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,**
storm_Harvey,-0.005281275228008552,0.01711864505495569,-0.30851011929122696,0.7576942014404329,-0.0388332029998464,0.028270652543829294,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
storm_Ian,0.003951495402633517,0.004544000373508264,0.8696071914234254,0.3845151063982126,-0.004954581675179234,0.012857572480446267,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
storm_Ida,-0.0031703686387033743,0.007429784575024926,-0.4267107083239675,0.6695900500323655,-0.01773247881864346,0.011391741541236712,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
storm_Irma,0.025050602869854697,0.0044538664917478325,5.6244620076216245,1.8608700199233616e-08,0.016321184954079183,0.03378002078563021,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,***
storm_Milton,0.003220014253655619,0.007056113082531476,0.45634391285866344,0.648142690988299,-0.010609713258947976,0.017049741766259213,Robustness A,mean_rpi_composite_full,857.0,0.16471279527068006,
