variable,coef,se,z,p_value,ci_lower,ci_upper,model,outcome,n_obs,r2,sig
const,0.3488023837129139,0.01049686821528645,33.22918574941787,4.079915101057558e-242,0.3282289000604892,0.36937586736533856,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,***
delta_forecast_1_wind_z,0.007424505244798993,0.00418556041004751,1.7738377940923609,0.07608998461521195,-0.000779042414010828,0.015628052903608816,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,.
delta_wind_kt_z,0.0009263580182544253,0.005639043189962704,0.16427574449213467,0.8695140753683877,-0.010125963541338334,0.011978679577847182,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
delta_fc_lag1_z,0.006891795685867482,0.004400307822574529,1.5662076299551322,0.11730001705939141,-0.0017326491672684623,0.015516240539003426,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
delta_wind_lag1_z,-0.0013118028726650144,0.005177534837253936,-0.253364373953835,0.7999866551260054,-0.011459584682384177,0.008835978937054149,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
new_hurricane_warning,0.004569151724988859,0.007657738679536426,0.5966711474758055,0.5507269595222894,-0.010439740289921846,0.019578043739899565,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
warning_lag1,-0.013710445323430069,0.0067470566063673534,-2.032063183002082,0.04214725997880521,-0.026934433273563124,-0.00048645737329701573,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,*
new_hurricane_watch,0.0015922899905877026,0.004723689113959654,0.337086110489807,0.7360519875599687,-0.007665970546937139,0.010850550528112544,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
max_wind_kt_z,0.0020699050471352873,0.003298359522708394,0.6275559207189211,0.5302948922381976,-0.0043947608254378875,0.008534570919708462,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
log_n_posts,-0.005995358916443338,0.00281921972454855,-2.126602217002931,0.03345314814352889,-0.011520928041063427,-0.00046978979182324843,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,*
hour_sin,0.008729006857082059,0.0027199989537962993,3.2091949318212034,0.0013310721574924598,0.003397906869654686,0.014060106844509432,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,**
hour_cos,-0.005120207444082422,0.00257361835730675,-1.9894975607186127,0.04664631078534074,-0.010164406734354788,-7.600815381005564e-05,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,*
storm_Harvey,-0.019022467025705227,0.020632733767968613,-0.921955725287201,0.35655167030825474,-0.05946188211352711,0.02141694806211666,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
storm_Ian,0.010697625583790064,0.0052194470281825105,2.0495706778951903,0.04040634423586327,0.00046769738933772655,0.020927553778242403,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,*
storm_Ida,-1.791602701162359e-05,0.008494090350505681,-0.002109234334969958,0.998317075736864,-0.016666027195431962,0.01663019514140872,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
storm_Irma,0.02124849569249004,0.004699515476401189,4.521422644353495,6.142540697381113e-06,0.012037614613955116,0.030459376771024962,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,***
storm_Milton,-0.005237945396826663,0.008032050636138589,-0.6521305248325485,0.5143169738571178,-0.020980475365660327,0.010504584572007002,Robustness B,mean_rpi_composite,857.0,0.19217164899672834,
