Predictor,β,SE,p
Intercept,+0.4058***,(0.0108),<0.001
Forecast wind change (z),+0.0069.,(0.0039),0.077
Current wind change (z),-0.0007,(0.0052),0.890
"Forecast wind change, lag1 (z)",+0.0059,(0.0042),0.161
"Current wind change, lag1 (z)",+0.0003,(0.0051),0.945
New hurricane warning†,+0.0061,(0.0074),0.404
"Warning issued, lag1†",-0.0067,(0.0068),0.323
New hurricane watch,+0.0039,(0.0043),0.362
Storm category (z),-0.0025,(0.0027),0.358
Log post volume,-0.0022,(0.0024),0.362
Hour of day (sin),+0.0066*,(0.0026),0.012
Hour of day (cos),-0.0057**,(0.0022),0.009
--- Storm FEs ---,,,
Storm category (z),-0.0025,(0.0027),0.358
storm_Harvey,-0.0053,(0.0171),0.758
storm_Ian,+0.0040,(0.0045),0.385
storm_Ida,-0.0032,(0.0074),0.670
storm_Irma,+0.0251***,(0.0045),<0.001
storm_Milton,+0.0032,(0.0071),0.648
