Predictor,β,SE,p
Intercept,+0.1349***,(0.0160),<0.001
Forecast wind change (z),+0.0085.,(0.0044),0.057
Current wind change (z),-0.0038,(0.0056),0.493
"Forecast wind change, lag1 (z)",+0.0095.,(0.0055),0.080
"Current wind change, lag1 (z)",-0.0021,(0.0062),0.739
New hurricane warning†,+0.0082,(0.0071),0.252
"Warning issued, lag1†",-0.0059,(0.0057),0.299
New hurricane watch,-0.0040,(0.0053),0.448
Storm category (z),+0.0020,(0.0032),0.537
Log post volume,-0.0038,(0.0035),0.272
Hour of day (sin),+0.0062.,(0.0033),0.056
Hour of day (cos),-0.0031,(0.0025),0.207
--- Storm FEs ---,,,
Storm category (z),+0.0020,(0.0032),0.537
storm_Harvey,+0.0088,(0.0166),0.595
storm_Ian,+0.0031,(0.0058),0.597
storm_Ida,+0.0053,(0.0092),0.563
storm_Irma,+0.0201***,(0.0049),<0.001
storm_Milton,+0.0174*,(0.0077),0.024
